nombre_limpio,marca_normalizada,categoria,subcategoria,precio_venta,precio_original,descuento_pct,ahorro_cop,tiene_descuento,rango_precio,almacenamiento_gb,ram_gb,conectividad_5g,fecha_extraccion,fuente,enlace
Huevos AA KIKES Rojo Pet (30 und),"(Und A $ 793,33)",mercado,lácteos_y_huevos,793,,,,0,medio,,,0,2026-06-04,exito.com,https://www.exito.com/huevo-aa-rojo-30und-pet-744836/p
Arroz DIANA blanco vitamor (5000 gr),"(Gr A $ 3,99)",mercado,despensa,,,,,0,sin_precio,,,0,2026-06-04,exito.com,https://www.exito.com/arroz-diana-5000-gr-498671/p
Agua con gas BRISA manzana (1500 ml),"(Ml A $ 1,92)",mercado,otro_mercado,,,,,0,sin_precio,,,0,2026-06-04,exito.com,https://www.exito.com/bebida-saborizada-manzana-brisa-1500-mililitro-3002638/p
Leche FRESCAMPO entera UHT paquete (5400 ml),"(Ml A $ 3,43)",mercado,lácteos_y_huevos,,,,,0,sin_precio,,,0,2026-06-04,exito.com,https://www.exito.com/leche-frescampo-uht-entera-5400-ml-3225371/p
Limón Tahití Malla TAEQ 1000 gr,"(Gr A $ 7,28)",mercado,frutas_y_verduras,,,,,0,sin_precio,,,0,2026-06-04,exito.com,https://www.exito.com/limon-tahiti-malla-1000g-43309/p
Milanesa de res fresca,"(Gr A $ 37,98)",mercado,otro_mercado,,,,,0,sin_precio,,,0,2026-06-04,exito.com,https://www.exito.com/milanesa-res-644019/p
Leche ALQUERIA semidescremada deslactosada sixpack (6000 ml),"(Ml A $ 5,61)",mercado,lácteos_y_huevos,,,,,0,sin_precio,,,0,2026-06-04,exito.com,https://www.exito.com/leche-alqueria-semidescremada-deslactosada-sixpack-6000-ml-3188872/p
Lechuga Batavia 1 und,"(Und A $ 2.520,00)",mercado,frutas_y_verduras,2520,,,,0,medio,,,0,2026-06-04,exito.com,https://www.exito.com/lechuga-batavia-unidad-752130/p
Banano 1 und,"(Und A $ 700,00)",mercado,frutas_y_verduras,700,,,,0,medio,,,0,2026-06-04,exito.com,https://www.exito.com/banano-unidad-937109/p
Tilapia o mojarra SMN fresca,"(Gr A $ 19,90)",mercado,carnes_y_embutidos,,,,,0,sin_precio,,,0,2026-06-04,exito.com,https://www.exito.com/tilapia-roja-916686/p
Queso mozzarella EXITO MARCA PROPIA tajado (250 gr),"(Gr A $ 34,36)",mercado,lácteos_y_huevos,,,,,0,sin_precio,,,0,2026-06-04,exito.com,https://www.exito.com/queso-exito-mozarella-250-gr-3183632/p
Canela EL REY en astilla (11 gr),"(Gr A $ 246,36)",mercado,otro_mercado,,,,,0,sin_precio,,,0,2026-06-04,exito.com,https://www.exito.com/canela-en-astillas-462973/p
Colchón SPRING Doble (140 x 190 cm) EQUILIBRIUM PRO Resortado Semifirme 2 Almoh Silic + Protector,Spring,hogar,colchón,1249990,3999990,68,2750000,1,premium,,,0,2026-06-04,exito.com,https://www.exito.com/colchon-spring-doble-140-x-190-cm-equilibrium-pro-resortado-semifirme-2-almoh-silic-protector-3225456/p
Termo Stanley Original 1.8 Litros Morado,Stanley,hogar,termo,75650,199990,62,124340,1,medio,,,0,2026-06-04,exito.com,https://www.exito.com/termo-stanley-original-18-litros-morado-103633743-mp/p
Termo Stanley Original 1.8 Litros Rosado,Stanley,hogar,termo,75650,160000,52,84350,1,medio,,,0,2026-06-04,exito.com,https://www.exito.com/termo-stanley-original-18-litros-rosado-103633755-mp/p
Termo Stanley Original 1.8 Litros Palo Rosa,Stanley,hogar,termo,75650,170000,55,94350,1,medio,,,0,2026-06-04,exito.com,https://www.exito.com/termo-stanley-original-18-litros-palo-rosa-103633748-mp/p
Colchón SPRING Doble (140 x 190 cm) RIO Resortado Semifirme 2 Almohadas Siliconada,Spring,hogar,colchón,859990,2359970,63,1499980,1,alto,,,0,2026-06-04,exito.com,https://www.exito.com/colchon-spring-doble-140-x-190-cm-rio-resortado-semifirme-2-almohadas-siliconada-3225462/p
Silla De Oficina El Roble Giratoria Gerente,Mueblesya,hogar,mueble,143500,184900,22,41400,1,medio,,,0,2026-06-04,exito.com,https://www.exito.com/silla-de-oficina-el-roble-giratoria-gerente-103650737-mp/p
Termo Stanley Quencher H2.0 Flowstate Vaso Aislado Al Vacío De Acero Inoxidable Con Tapa Y Pitillo 40Oz,Stanley,hogar,termo,75650,130000,41,54350,1,medio,,,0,2026-06-04,exito.com,https://www.exito.com/termo-stanley-quencher-h20-flowstate-vaso-aislado-al-vacio-de-acero-inoxidable-con-tapa-y-pitillo-40oz-103263889-mp/p
Toalla Baño Unicolor cenefa viscosa CANNON,Cannon,hogar,otro_hogar,26990,,,,0,bajo,,,0,2026-06-04,exito.com,https://www.exito.com/toalla-bano-unicolor-cenefa-viscosa-cannon-3225307/p?color=Blanco
Toalla Baño Unicolor cenefa viscosa CANNON,Cannon,hogar,otro_hogar,26990,,,,0,bajo,,,0,2026-06-04,exito.com,https://www.exito.com/toalla-bano-unicolor-cenefa-viscosa-cannon-3225307/p?color=Gris
Toalla Baño Unicolor cenefa viscosa CANNON,Cannon,hogar,otro_hogar,26990,,,,0,bajo,,,0,2026-06-04,exito.com,https://www.exito.com/toalla-bano-unicolor-cenefa-viscosa-cannon-3225307/p?color=Azul
Toalla Baño Unicolor cenefa viscosa CANNON,Cannon,hogar,otro_hogar,26990,,,,0,bajo,,,0,2026-06-04,exito.com,https://www.exito.com/toalla-bano-unicolor-cenefa-viscosa-cannon-3225307/p?color=CAFE
Toalla Baño Unicolor cenefa viscosa CANNON,Cannon,hogar,otro_hogar,26990,,,,0,bajo,,,0,2026-06-04,exito.com,https://www.exito.com/toalla-bano-unicolor-cenefa-viscosa-cannon-3225307/p?color=Morado
Silla De Oficina Taraza Presidente,Mueblesya,hogar,mueble,204900,489900,58,285000,1,medio,,,0,2026-06-04,exito.com,https://www.exito.com/silla-de-oficina-taraza-operativa-basculante-en-pano-103650722-mp/p
"Closet Aura Ii, Fresno Europeo Y Wengue, Con Cuatro Puertas Y Dos Cajones",Virtual Muebles,hogar,mueble,1389900,1799900,22,410000,1,premium,,,0,2026-06-04,exito.com,https://www.exito.com/closet-aura-ii-fresno-europeo-y-wengue-con-cuatro-puertas-y-dos-cajones-104878241-mp/p
Termo Stanley Original 1.8 Litros Negro,Stanley,hogar,termo,75250,159900,52,84650,1,medio,,,0,2026-06-04,exito.com,https://www.exito.com/termo-stanley-original-18-litros-negro-103633739-mp/p
Vajilla Rosa Negra x16pz FINLANDEK BASIC ESENCIAL VL179F040116,Finlandek Esencial,hogar,cocina,89990,,,,0,medio,,,0,2026-06-04,exito.com,https://www.exito.com/vajilla-rosa-negra-x16pz-exito-vl179f040116-3010755/p
Extractor De Leche Materna Electrico Doble Automatico,Intelligence,bebes,lácteos_y_huevos,39564,128900,69,89336,1,medio,,,0,2026-06-04,exito.com,https://www.exito.com/extractor-de-leche-materna-electrico-doble-automatico-100795446-mp/p
Extractor Eléctrico Doble De Leche Materna Only Baby Blanco,Mundo Bebe,bebes,lácteos_y_huevos,39471,119900,67,80429,1,medio,,,0,2026-06-04,exito.com,https://www.exito.com/extractor-electrico-doble-de-leche-materna-only-baby-blanco-101763835-mp/p
Silla De Carro Bebe Grupo 012 Rally Negro BEBESIT,Bebesit,bebes,mueble,259900,517900,49,258000,1,alto,,,0,2026-06-04,exito.com,https://www.exito.com/silla-de-carro-para-bebes-rally-negro-bebesit-bebesit-7211bk-3162760/p?color=Negro
Bañera Ajustable Para Bebe Con Soporte Y Drenaje Rapido,Generico,bebes,cuidado_bebé,129363,225900,42,96537,1,medio,,,0,2026-06-04,exito.com,https://www.exito.com/banera-ajustable-para-bebe-con-soporte-y-drenaje-rapido-104540430-mp/p
Extractor De Leche Materna Electrico Portable Manos Libres,Generico,bebes,lácteos_y_huevos,105938,170000,37,64062,1,medio,,,0,2026-06-04,exito.com,https://www.exito.com/extractor-de-leche-materna-electrico-portable-manos-libres-104670495-mp/p
Pañalera Morral Bebe Multifuncional Cuna Plegable Calidad 3 En 1 Gris,American Generics,bebes,otro_bebes,68330,240000,71,171670,1,medio,,,0,2026-06-04,exito.com,https://www.exito.com/panalera-morral-bebe-multifuncional-cuna-plegable-calidad-3-en-1-gris-104126443-mp/p
Silla Vibradora Mecedora Eléctrica Musical Para Bebes Rocker,Iksa,bebes,mueble,113269,159900,29,46631,1,medio,,,0,2026-06-04,exito.com,https://www.exito.com/silla-vibradora-mecedora-electrica-musical-para-bebes-rocker-104845700-mp/p
Kit Alimentación Bebe Niño Niña Vajilla En Silicona 8 Piezas,Mundo Bebe,bebes,cocina,34447,67000,48,32553,1,medio,,,0,2026-06-04,exito.com,https://www.exito.com/kit-alimentacion-bebe-nino-nina-vajilla-en-silicona-8-piezas-104055712-mp/p
Kit Recien Nacido Winny,Mundo Bebe,bebes,higiene_bebé,54479,115900,52,61421,1,medio,,,0,2026-06-04,exito.com,https://www.exito.com/kit-recien-nacido-winny-101870829-mp/p
Coche Bastón Stark Eb2015 Negro,Ebaby,bebes,movilidad_bebé,152800,305900,50,153100,1,alto,,,0,2026-06-04,exito.com,https://www.exito.com/coche-baston-stark-eb2015-negro-104545610-mp/p
Coche Cuna Moisés Confort Función Maleta Eb R147 1 Negro,Ebaby,bebes,movilidad_bebé,574499,655900,12,81401,1,premium,,,0,2026-06-04,exito.com,https://www.exito.com/coche-cuna-moises-confort-funcion-maleta-eb-r147-1-negro-104880726-mp/p
Silla De Auto Bancy Eb560 1 Rosa,Ebaby,bebes,mueble,290500,405800,28,115300,1,alto,,,0,2026-06-04,exito.com,https://www.exito.com/silla-de-auto-bancy-5601rosado-100123326-mp/p
Extractor De Leche Electrico Recargable Manos Libres Portatil,Generico,bebes,portátil,89295,160000,44,70705,1,medio,,,0,2026-06-04,exito.com,https://www.exito.com/extractor-de-leche-electrico-recargable-manos-libres-portatil-104829319-mp/p
de carro PRIORI First,Priori,bebes,otro_bebes,719940,1199900,40,479960,1,premium,,,0,2026-06-04,exito.com,https://www.exito.com/de-carro-priori-first-3111757/p?color=GRIS%2FNEGR
de carro PRIORI First,Priori,bebes,otro_bebes,719940,1199900,40,479960,1,premium,,,0,2026-06-04,exito.com,https://www.exito.com/de-carro-priori-first-3111757/p?color=GRISROSAD
Desodorante REXONA V8 aerosol hombre (178 gr),"(Gr A $ 123,03)",cuidado-personal,higiene_personal,,,,,0,sin_precio,,,0,2026-06-04,exito.com,https://www.exito.com/of-desodorante-aerosol-v8-771034/p
Tratamiento capilar DOVE intense repair (250 gr),"(Gr A $ 178,60)",cuidado-personal,otro_cuidado,,,,,0,sin_precio,,,0,2026-06-04,exito.com,https://www.exito.com/tratamiento-capilar-dove-masc-intense-repair-250-gr-3189203/p
Crema corporal LUBRIDERM reparación intensiva (946 gr),"(Gr A $ 71,67)",cuidado-personal,cuidado_piel,,,,,0,sin_precio,,,0,2026-06-04,exito.com,https://www.exito.com/cr-corporal-reparacion-intensi-869499/p
Minoxidil Kirkland 5% 1 Botella + Dermaroller,Sin marca,cuidado-personal,salud,39893,55900,28,16007,1,medio,,,0,2026-06-04,exito.com,https://www.exito.com/minoxidil-kirkland-5-1-botella-dermaroller-104789478-mp/p
Acondicionador SAVITAL con elixir de romero (490 ml),"(Ml A $ 29,71)",cuidado-personal,cuidado_capilar,,,,,0,sin_precio,,,0,2026-06-04,exito.com,https://www.exito.com/acondicionador-savital-elixir-de-romero-490-ml-3218973/p
Shampoo SAVITAL elixir de romero biotina y sábila (510 ml),"(Ml A $ 28,63)",cuidado-personal,cuidado_capilar,,,,,0,sin_precio,,,0,2026-06-04,exito.com,https://www.exito.com/shampoo-savital-elixir-de-romero-510-ml-3218972/p
Tensiometro Digital Para Brazo Monitor De Presion,Sin marca,cuidado-personal,monitor,24922,99999,75,75077,1,medio,,,0,2026-06-04,exito.com,https://www.exito.com/tensiometro-digital-omron-serie-5-para-el-brazo-100110537-mp/p
Jabón de baño PROTEX avena (330 gr),"(Gr A $ 35,76)",cuidado-personal,higiene_personal,,,,,0,sin_precio,,,0,2026-06-04,exito.com,https://www.exito.com/jabon-avena-barra-x3-unds-protex-330-gr-3040864/p
Crema dental ORALB 3D white brilliant fresh (134 ml),"(Ml A $ 180,60)",cuidado-personal,cuidado_piel,,,,,0,sin_precio,,,0,2026-06-04,exito.com,https://www.exito.com/crema-dental-3d-na-oral-b-134-ml-3043890/p
Tensiometro Original De Brazo Automático Alta Precisión Digital Con Voz Español Envio Gratis,Sin marca,cuidado-personal,salud,24183,,,,0,medio,,,0,2026-06-04,exito.com,https://www.exito.com/tensiometro-original-de-brazo-automatico-alta-precision-digital-con-voz-espanol-envio-gratis-104054044-mp/p
Minoxidil Kirkland 5% Importado 3Unidades,Sin marca,cuidado-personal,salud,79756,120000,33,40244,1,alto,,,0,2026-06-04,exito.com,https://www.exito.com/minoxidil-kirkland-5-importado-3unidades-104820740-mp/p
Secador De Cabello 5 En 1 Multifuncional,Sin marca,cuidado-personal,cuidado_capilar,36354,,,,0,medio,,,0,2026-06-04,exito.com,https://www.exito.com/secador-de-cabello-5-en-1-multifuncional-104169526-mp/p
Pañales WINNY sensitive 1P (50 und),"(Und A $ 1.042,00)",cuidado-personal,higiene_bebé,1042,,,,0,bajo,,,0,2026-06-04,exito.com,https://www.exito.com/panales-sensgold-etapa-1-winny-50-unidad-3003709/p
Crema dental COLGATE total whitening prevención activa (225 ml),"(Ml A $ 168,22)",cuidado-personal,cuidado_piel,,,,,0,sin_precio,,,0,2026-06-04,exito.com,https://www.exito.com/crema-colgate-dental-225-ml-3233595/p
Nebulizador Portatil Para Niños Y Adultos,Sin marca,cuidado-personal,portátil,25889,45000,42,19111,1,medio,,,0,2026-06-04,exito.com,https://www.exito.com/nebulizador-portatil-para-ninos-y-adultos-101329681-mp/p
The Ordinary Niacinamida 10% Antiacne Suero Antigrasa 30Ml,Sin marca,cuidado-personal,cuidado_piel,59959,96000,37,36041,1,alto,,,0,2026-06-04,exito.com,https://www.exito.com/the-ordinary-niacinamida-10-antiacne-suero-antigrasa-30ml-101305838-mp/p
Toallitas húmedas PERSONAL CHOICE MARCA EXCLUSIV aloe vera (72 und),"(Und A $ 53,33)",cuidado-personal,otro_cuidado,,,,,0,sin_precio,,,0,2026-06-04,exito.com,https://www.exito.com/toallitas-humedas-con-aloe-vera-para-bebe-x-72-unds-cu-694797/p
Crema Corporal Lactovit Y Gel Baño Kit,Sin marca,cuidado-personal,cuidado_piel,99999,120000,16,20001,1,alto,,,0,2026-06-04,exito.com,https://www.exito.com/crema-corporal-lactovit-y-gel-bano-kit-104774917-mp/p
Crema dental COLGATE triple acción (375 ml),"(Ml A $ 71,60)",cuidado-personal,cuidado_piel,,,,,0,sin_precio,,,0,2026-06-04,exito.com,https://www.exito.com/crema-triple-accion-x3und-981291/p
Jabón de baño JOHNSON S original (330 gr),"(Gr A $ 37,88)",cuidado-personal,higiene_personal,,,,,0,sin_precio,,,0,2026-06-04,exito.com,https://www.exito.com/jabon-barra-original-165340/p
Agua micelar NIVEA reparadora (400 ml),"(Ml A $ 85,75)",belleza,otro_belleza,,,,,0,sin_precio,,,0,2026-06-04,exito.com,https://www.exito.com/agua-nivea-micelar-cara-ojos-labios-400-ml-3178948/p
Protector Solar Facial Eucerin Tono Claro Spf50 Pigment Caj 1 Fra 50 Ml,Sin marca,belleza,higiene_personal,110460,157800,30,47340,1,alto,,,0,2026-06-04,exito.com,https://www.exito.com/protector-solar-facial-anti-manchas-tono-claro---eucerin-123772225/p
Perfume Moschino Toy Boy Hombre 100 Ml Edp,Sin marca,belleza,fragancias,142030,399900,64,257870,1,alto,,,0,2026-06-04,exito.com,https://www.exito.com/perfume-moschino-toy-boy-hombre-100-ml-edp-102654797-mp/p
Perfume 212 Men (100Ml) De Carolina Herrera,Sin marca,belleza,fragancias,110999,499900,77,388901,1,alto,,,0,2026-06-04,exito.com,https://www.exito.com/perfume-212-men-100ml-de-carolina-herrera-100114188-mp/p
Protector labial NIVEA fruity shine cereza (4.7 gr),"(Gr A $ 5.825,00)",belleza,maquillaje,5825,,,,0,bajo,,,0,2026-06-04,exito.com,https://www.exito.com/protector-labial-sabor-cereza-x-1-und-346875/p
Perfume Sauvage Dior 100Ml Edp,Sin marca,belleza,fragancias,116223,209900,44,93677,1,alto,,,0,2026-06-04,exito.com,https://www.exito.com/perfume-sauvage-dior-100ml-edp-104557563-mp/p
The Ordinary Glycolic Acid 7% Toning Solution Acido Glicolico Exfoliante Ligero,Sin marca,belleza,otro_belleza,153639,256000,39,102361,1,premium,,,0,2026-06-04,exito.com,https://www.exito.com/the-ordinary-glycolic-acid-7-toning-solution-acido-glicolico-exfoliante-ligero-101646306-mp/p
Perfume Dolce & Gabbana Light Blue Mujer 100 Ml,Sin marca,belleza,fragancias,182414,229900,20,47486,1,premium,,,0,2026-06-04,exito.com,https://www.exito.com/perfume-dolce-gabbana-light-blue-mujer-100-ml-100113177-mp/p
Brillo labial NIVEA fruity shine blackberry (4.8 gr),"(Gr A $ 5.525,00)",belleza,maquillaje,5525,,,,0,bajo,,,0,2026-06-04,exito.com,https://www.exito.com/protector-de-labios-mora-878256/p
Serum antiarrugas NEUTROGENA retinol boost (30 ml),"(Ml A $ 5.040,00)",belleza,cuidado_piel,5040,,,,0,bajo,,,0,2026-06-04,exito.com,https://www.exito.com/serum-neutrogena-antiarrugas-retinol-boost-30-ml-3243273/p
Perfume 212 Vip Rose De Carolina Herrera Para Mujer 2.7 Oz,Sin marca,belleza,fragancias,157226,499900,68,342674,1,premium,,,0,2026-06-04,exito.com,https://www.exito.com/perfume-212-vip-rose-de-carolina-herrera-para-mujer-27-oz-100131962-mp/p
Perfume 212 Men Nyc Hombre 100Ml 3.4Oz,Sin marca,belleza,fragancias,104620,4999000,97,4894380,1,alto,,,0,2026-06-04,exito.com,https://www.exito.com/perfume-212-men-nyc-hombre-100ml-34oz-100942833-mp/p
Perfume Armaf Club De Nuit Intense Man Hombre Locion 105Ml,Sin marca,belleza,fragancias,178905,209900,14,30995,1,premium,,,0,2026-06-04,exito.com,https://www.exito.com/perfume-armaf-club-de-nuit-intense-man-hombre-locion-105ml-100850546-mp/p
The Ordinary. Ácido Glicólico 7% Toning Solution Exofiliante,Sin marca,belleza,cuidado_piel,154415,230000,32,75585,1,premium,,,0,2026-06-04,exito.com,https://www.exito.com/the-ordinary-acido-glicolico-7-toning-solution-exofiliante-101305603-mp/p
The Ordinary Ácido Azelaico Crema Facial Antimanchas,Sin marca,belleza,cuidado_piel,100671,138000,27,37329,1,alto,,,0,2026-06-04,exito.com,https://www.exito.com/the-ordinary-acido-azelaico-crema-facial-antimanchas-101424699-mp/p
Perfume Carolina Herrera 212 Vip Black Hombre 100Ml 3.4Oz Locion Own The Party,Sin marca,belleza,fragancias,137608,399900,65,262292,1,alto,,,0,2026-06-04,exito.com,https://www.exito.com/perfume-carolina-herrera-212-vip-negro-edp-spray-34-oz-100485128-mp/p
Perfume Para Hombre Acqua Di Gio 100Ml De Giorgio Armani,Sin marca,belleza,fragancias,128658,209900,38,81242,1,alto,,,0,2026-06-04,exito.com,https://www.exito.com/perfume-para-hombre-acqua-di-gio-100ml-de-giorgio-armani-100079144-mp/p
Perfume Jean Paul Gaultier Le Male Le Parfum Para Hombre De 200Ml,Sin marca,belleza,fragancias,389898,499900,22,110002,1,premium,,,0,2026-06-04,exito.com,https://www.exito.com/perfume-jean-paul-gaultier-le-male-le-parfum-para-hombre-de-200ml-104557331-mp/p
"Crema Evil Goods Original, Crema De Sebo De Ternera Y Miel",Sin marca,belleza,cuidado_piel,55900,65000,14,9100,1,medio,,,0,2026-06-04,exito.com,https://www.exito.com/crema-evil-goods-original-crema-de-sebo-de-ternera-y-miel-104840426-mp/p
The Ordinary Acido Salicílico 2% Anhydrous Solution,Sin marca,belleza,otro_belleza,79814,110000,27,30186,1,alto,,,0,2026-06-04,exito.com,https://www.exito.com/the-ordinary-acido-salicilico-2-anhydrous-solution-102039346-mp/p
Perfume Mujer Carolina Herrera Good Girl 80 Ml,Sin marca,belleza,fragancias,170668,499900,65,329232,1,premium,,,0,2026-06-04,exito.com,https://www.exito.com/perfume-mujer-carolina-herrera-good-girl-80-ml-100012787-mp/p
Celular SAMSUNG Galaxy A36 5G 256 GB 8 GB RAM Gris + Cargador,Samsung,celulares,celular,1039005,1999900,48,960895,1,medio,256,8,1,2026-06-04,exito.com,https://www.exito.com/celular-samsung-galaxy-a36-256-gb-8-gb-ram-gris-buds-core-3240980/p
Samsung Galaxy A32 Reacondicionado 5G 128Gb 6Gb Ram Negro,Samsung,celulares,celular,299900,599900,50,300000,1,bajo,128,6,1,2026-06-04,exito.com,https://www.exito.com/samsung-galaxy-a32-5g-128gb-negro-102748191-mp/p
Celular Samsung Galaxy A32 128Gb Negro Reacondicionado,Samsung,celulares,celular,299900,599900,50,300000,1,bajo,128,,0,2026-06-04,exito.com,https://www.exito.com/celular-samsung-galaxy-a32-128gb-negro-reacondicionado-103249603-mp/p
Celular MOTOROLA Edge 60 Fusion 5G 256 GB 8 GB RAM Azul,Motorola,celulares,celular,884905,2299900,61,1414995,1,medio,256,8,1,2026-06-04,exito.com,https://www.exito.com/celular-motorola-edge-60-fusion-256-gb-8-gb-ram-azul-3212713/p
Celular MOTOROLA Edge 60 Fusion 5G 256 GB 8 GB RAM Rosa,Motorola,celulares,celular,1160003,2320006,50,1160003,1,medio,256,8,1,2026-06-04,exito.com,https://www.exito.com/celular-motorola-edge-60-fusion-256-gb-8-gb-ram-rosa-3212705/p
