nombre,precio_venta,precio_original,descuento_pct,marca,categoria,enlace,imagen
Detergente MAS líquido ropa color (1830  ml),,,,"(Ml a $ 25,03)",mercado,https://www.exito.com/detergente-mas-liquido-ropa-color-1830-ml-3228791/p,https://d3ez54m90carx6.cloudfront.net/SELLOS-TEMÁTICOS-15cgy2hml59z3mb.png
Lavaplatos líquido AXION limón (1500  ml),,,,"(Ml a $ 13,33)",mercado,https://www.exito.com/lavaplatos-liquido-limon-1500-ml-853875/p,https://d3ez54m90carx6.cloudfront.net/SELLOS-TEMÁTICOS-15cgy2hml59z3mb.png
Jamón  COLANTA seleccionado (450  gr),,,,"(Gr a $ 37,89)",mercado,https://www.exito.com/jamon-seleccionado-colanta-450-gr-3059799/p,https://exitocol.vtexassets.com/arquivos/ids/31963274-300-auto/Jamon-Seleccionado-COLANTA-450-gr-3165440_a.jpg?v=639003121860230000
Filete de pechuga de pollo FRIKO HF empaque individual x10und (850  gr),,,,"(Gr a $ 38,35)",mercado,https://www.exito.com/filete-de-pechuga-de-10-unds-35563/p,https://exitocol.vtexassets.com/arquivos/ids/30876959-300-auto/FILETE-DE-PECHUGA-DE-10-UNDS-237859_a.jpg?v=638935405281230000
Carne de cerdo  económica,,,,"(Gr a $ 18,68)",mercado,https://www.exito.com/brazo-cerdo-487141/p,https://exitocol.vtexassets.com/arquivos/ids/33496400-300-auto/BRAZO-CERDO-860794_a.jpg?v=639153130580900000
Huevos AA KIKES Rojo Pet (30  und),793,,,"(Und a $ 793,33)",mercado,https://www.exito.com/huevo-aa-rojo-30und-pet-744836/p,https://exitocol.vtexassets.com/arquivos/ids/32900846-300-auto/Huevo-Aa-Rojo-30und-Pet-1037843_a.jpg?v=639101333554500000
Arroz DIANA blanco vitamor (5000  gr),,,,"(Gr a $ 3,99)",mercado,https://www.exito.com/arroz-diana-5000-gr-498671/p,https://exitocol.vtexassets.com/arquivos/ids/28955906-300-auto/Arroz-Diana-5000-gr-814670_a.jpg?v=639154788988530000
Agua con gas BRISA manzana (1500  ml),,,,"(Ml a $ 1,92)",mercado,https://www.exito.com/bebida-saborizada-manzana-brisa-1500-mililitro-3002638/p,https://exitocol.vtexassets.com/arquivos/ids/28931581-300-auto/BEBIDA-SABORIZADA-MANZANA-BRISA-1500-Mililitro-3003705_a.jpg?v=638859668154400000
Leche FRESCAMPO entera UHT paquete (5400  ml),,,,"(Ml a $ 3,43)",mercado,https://www.exito.com/leche-frescampo-uht-entera-5400-ml-3225371/p,https://d3ez54m90carx6.cloudfront.net/CUCARDA-INSUPERABLE-2rz15omd91zwoz.png
Limón Tahití Malla TAEQ 1000  gr,,,,"(Gr a $ 7,28)",mercado,https://www.exito.com/limon-tahiti-malla-1000g-43309/p,https://exitocol.vtexassets.com/arquivos/ids/24439575-300-auto/Limon-Tahiti-Malla-1000g-594130_a.jpg?v=638609239734670000
Milanesa de res  fresca,,,,"(Gr a $ 37,98)",mercado,https://www.exito.com/milanesa-res-644019/p,https://d3ez54m90carx6.cloudfront.net/SELLOS-TEMÁTICOS-15cgy2hml59z3mb.png
Leche ALQUERIA semidescremada deslactosada sixpack (6000  ml),,,,"(Ml a $ 5,61)",mercado,https://www.exito.com/leche-alqueria-semidescremada-deslactosada-sixpack-6000-ml-3188872/p,https://d3ez54m90carx6.cloudfront.net/SELLOS-TEMÁTICOS-15cgy2hml59z3mb.png
Lechuga Batavia  1  und,2520,,,"(Und a $ 2.520,00)",mercado,https://www.exito.com/lechuga-batavia-unidad-752130/p,https://exitocol.vtexassets.com/arquivos/ids/32666245-300-auto/LECHUGA-BATAVIA-UNIDAD-230853_a.jpg?v=639082476482470000
Banano   1  und,700,,,"(Und a $ 700,00)",mercado,https://www.exito.com/banano-unidad-937109/p,https://exitocol.vtexassets.com/arquivos/ids/32541000-300-auto/Banano-Unidad-639180_a.jpg?v=639102198299970000
Tilapia o mojarra SMN fresca,,,,"(Gr a $ 19,90)",mercado,https://www.exito.com/tilapia-roja-916686/p,https://exitocol.vtexassets.com/arquivos/ids/32362243-300-auto/Tilapia-Roja-737288_a.jpg?v=639053149263130000
Queso mozzarella EXITO MARCA PROPIA tajado (250  gr),,,,"(Gr a $ 34,36)",mercado,https://www.exito.com/queso-exito-mozarella-250-gr-3183632/p,https://exitocol.vtexassets.com/arquivos/ids/32660393-300-auto/Queso-EXITO-Mozarella-250-gr-3593664_a.jpg?v=639081631911930000
Canela EL REY en astilla (11  gr),,,,"(Gr a $ 246,36)",mercado,https://www.exito.com/canela-en-astillas-462973/p,https://exitocol.vtexassets.com/arquivos/ids/29824200-300-auto/Canela-En-Astillas-723212_a.jpg?v=638919059595530000
Colchón SPRING Doble (140 x 190 cm) EQUILIBRIUM PRO Resortado Semifirme 2 Almoh Silic + Protector,1249990,3999990,68,SPRING,hogar,https://www.exito.com/colchon-spring-doble-140-x-190-cm-equilibrium-pro-resortado-semifirme-2-almoh-silic-protector-3225456/p,https://exitocol.vtexassets.com/arquivos/ids/32161641-300-auto/Colchon-SPRING-Doble-140-x-190-cm-EQUILIBRIUM-PRO-Resortado-Semifirme-2-Almoh-Silic-Protector-3751340_a.jpg?v=639029643424930000
Termo Stanley Original 1.8 Litros Morado,75650,199990,62,STANLEY,hogar,https://www.exito.com/termo-stanley-original-18-litros-morado-103633743-mp/p,https://exitocol.vtexassets.com/arquivos/ids/31234608-300-auto/termo-stanley-original-18-litros-morado.jpg?v=638957440246700000
Termo Stanley Original 1.8 Litros Rosado,75650,160000,52,STANLEY,hogar,https://www.exito.com/termo-stanley-original-18-litros-rosado-103633755-mp/p,https://exitocol.vtexassets.com/arquivos/ids/28431628-300-auto/termo-stanley-original-18-litros-rosado.jpg?v=638847349604430000
Termo Stanley Original 1.8 Litros Palo Rosa,75650,170000,55,STANLEY,hogar,https://www.exito.com/termo-stanley-original-18-litros-palo-rosa-103633748-mp/p,https://exitocol.vtexassets.com/arquivos/ids/28431590-300-auto/termo-stanley-original-18-litros-palo-rosa.jpg?v=638847349133000000
Colchón SPRING Doble (140 x 190 cm) RIO Resortado Semifirme 2 Almohadas Siliconada,859990,2359970,63,SPRING,hogar,https://www.exito.com/colchon-spring-doble-140-x-190-cm-rio-resortado-semifirme-2-almohadas-siliconada-3225462/p,https://exitocol.vtexassets.com/arquivos/ids/32161693-300-auto/Colchon-SPRING-Doble-140-x-190-cm-RIO-Resortado-Semifirme-2-Almohadas-Siliconada-3751346_a.jpg?v=639029643612070000
Silla De Oficina El Roble Giratoria Gerente,143500,184900,22,MUEBLESYA,hogar,https://www.exito.com/silla-de-oficina-el-roble-giratoria-gerente-103650737-mp/p,https://exitocol.vtexassets.com/arquivos/ids/29666400-300-auto/silla-de-oficina-el-roble-giratoria-gerente.jpg?v=638908173543370000
Termo Stanley Quencher H2.0 Flowstate Vaso Aislado Al Vacío De Acero Inoxidable Con Tapa Y Pitillo 40Oz,75650,130000,41,STANLEY,hogar,https://www.exito.com/termo-stanley-quencher-h20-flowstate-vaso-aislado-al-vacio-de-acero-inoxidable-con-tapa-y-pitillo-40oz-103263889-mp/p,https://exitocol.vtexassets.com/arquivos/ids/28431371-300-auto/termo-stanley-quencher-h20-flowstate-vaso-aislado-al-vacio-de-acero-inoxidable-con-tapa-y-pitillo-40oz.jpg?v=638847346381630000
Toalla Baño Unicolor cenefa viscosa  CANNON,26990,,,CANNON,hogar,https://www.exito.com/toalla-bano-unicolor-cenefa-viscosa-cannon-3225307/p?color=Blanco,https://exitocol.vtexassets.com/arquivos/ids/30590666-300-auto/Toalla-Bano-Unicolor-cenefa-viscosa-CANNON-3750722_a.jpg?v=638923813417800000
Toalla Baño Unicolor cenefa viscosa  CANNON,26990,,,CANNON,hogar,https://www.exito.com/toalla-bano-unicolor-cenefa-viscosa-cannon-3225307/p?color=Gris,https://exitocol.vtexassets.com/arquivos/ids/30600130-300-auto/Toalla-Bano-Unicolor-cenefa-viscosa-CANNON-3750718_a.jpg?v=638924145629370000
Toalla Baño Unicolor cenefa viscosa  CANNON,26990,,,CANNON,hogar,https://www.exito.com/toalla-bano-unicolor-cenefa-viscosa-cannon-3225307/p?color=Azul,https://exitocol.vtexassets.com/arquivos/ids/30600131-300-auto/Toalla-Bano-Unicolor-cenefa-viscosa-CANNON-3750720_a.jpg?v=638924145635300000
Toalla Baño Unicolor cenefa viscosa  CANNON,26990,,,CANNON,hogar,https://www.exito.com/toalla-bano-unicolor-cenefa-viscosa-cannon-3225307/p?color=CAFE,https://exitocol.vtexassets.com/arquivos/ids/30593669-300-auto/Toalla-Bano-Unicolor-cenefa-viscosa-CANNON-3750719_a.jpg?v=638923833464730000
Toalla Baño Unicolor cenefa viscosa  CANNON,26990,,,CANNON,hogar,https://www.exito.com/toalla-bano-unicolor-cenefa-viscosa-cannon-3225307/p?color=Morado,https://exitocol.vtexassets.com/arquivos/ids/30593670-300-auto/Toalla-Bano-Unicolor-cenefa-viscosa-CANNON-3750721_a.jpg?v=638923833470670000
Silla De Oficina Taraza Presidente,204900,489900,58,MUEBLESYA,hogar,https://www.exito.com/silla-de-oficina-taraza-operativa-basculante-en-pano-103650722-mp/p,https://exitocol.vtexassets.com/arquivos/ids/30942686-300-auto/silla-de-oficina-taraza-presidente.jpg?v=638938884045330000
"Closet Aura Ii, Fresno Europeo Y Wengue, Con Cuatro Puertas Y Dos Cajones",1389900,1799900,22,VIRTUAL MUEBLES,hogar,https://www.exito.com/closet-aura-ii-fresno-europeo-y-wengue-con-cuatro-puertas-y-dos-cajones-104878241-mp/p,https://exitocol.vteximg.com.br/arquivos/cucardaNUEVO.png
Termo Stanley Original 1.8 Litros Negro,75250,159900,52,STANLEY,hogar,https://www.exito.com/termo-stanley-original-18-litros-negro-103633739-mp/p,https://exitocol.vtexassets.com/arquivos/ids/28431612-300-auto/termo-stanley-original-18-litros-negro.jpg?v=638847349411430000
Vajilla Rosa Negra x16pz FINLANDEK BASIC ESENCIAL VL179F040116,89990,,,FINLANDEK ESENCIAL,hogar,https://www.exito.com/vajilla-rosa-negra-x16pz-exito-vl179f040116-3010755/p,https://exitocol.vtexassets.com/arquivos/ids/20075316-300-auto/Vajilla-Rosa-Negra-x16pz-EXITO-VL179F040116-3015625_a.jpg?v=638340177691170000
Extractor De Leche Materna Electrico Doble Automatico,39564,128900,69,INTELLIGENCE,bebes,https://www.exito.com/extractor-de-leche-materna-electrico-doble-automatico-100795446-mp/p,https://exitocol.vtexassets.com/arquivos/ids/26410738-300-auto/extractor-de-leche-materna-electrico-doble-automatico.jpg?v=638730729489700000
Extractor Eléctrico Doble De Leche Materna Only Baby Blanco,39471,119900,67,MUNDO BEBE,bebes,https://www.exito.com/extractor-electrico-doble-de-leche-materna-only-baby-blanco-101763835-mp/p,https://exitocol.vtexassets.com/arquivos/ids/9955904-300-auto/extractor-electrico-doble-de-leche-materna-only-baby-blanco.jpg?v=637671639309530000
Silla De Carro Bebe Grupo 012 Rally Negro BEBESIT,259900,517900,49,BEBESIT,bebes,https://www.exito.com/silla-de-carro-para-bebes-rally-negro-bebesit-bebesit-7211bk-3162760/p?color=Negro,https://d3ez54m90carx6.cloudfront.net/ENVIO-GRATIS-42lu9gmf5quyrt.jpg
Bañera Ajustable Para Bebe Con Soporte Y Drenaje Rapido,129363,225900,42,GENERICO,bebes,https://www.exito.com/banera-ajustable-para-bebe-con-soporte-y-drenaje-rapido-104540430-mp/p,https://exitocol.vtexassets.com/arquivos/ids/31206808-300-auto/banera-ajustable-para-bebe-con-soporte-y-drenaje-rapido.jpg?v=638957341664730000
Extractor De Leche Materna Electrico Portable Manos Libres,105938,170000,37,GENERICO,bebes,https://www.exito.com/extractor-de-leche-materna-electrico-portable-manos-libres-104670495-mp/p,https://exitocol.vtexassets.com/arquivos/ids/29599888-300-auto/extractor-de-leche-materna-electrico-portable-manos-libres.jpg?v=638902951582170000
Pañalera Morral Bebe Multifuncional Cuna Plegable Calidad 3 En 1 Gris,68330,240000,71,AMERICAN GENERICS,bebes,https://www.exito.com/panalera-morral-bebe-multifuncional-cuna-plegable-calidad-3-en-1-gris-104126443-mp/p,https://exitocol.vtexassets.com/arquivos/ids/26377753-300-auto/panalera-morral-bebe-multifuncional-cuna-plegable-calidad-3-en-1-gris.jpg?v=638727284516300000
Silla Vibradora Mecedora Eléctrica Musical Para Bebes Rocker,113269,159900,29,IKSA,bebes,https://www.exito.com/silla-vibradora-mecedora-electrica-musical-para-bebes-rocker-104845700-mp/p,https://exitocol.vtexassets.com/arquivos/ids/31999741-300-auto/silla-vibradora-mecedora-electrica-musical-para-bebes-rocker.jpg?v=639009766381400000
Kit Alimentación Bebe Niño Niña Vajilla En Silicona 8 Piezas,34447,67000,48,MUNDO BEBE,bebes,https://www.exito.com/kit-alimentacion-bebe-nino-nina-vajilla-en-silicona-8-piezas-104055712-mp/p,https://exitocol.vtexassets.com/arquivos/ids/25918463-300-auto/kit-alimentacion-bebe-nino-nina-vajilla-en-silicona-8-piezas.jpg?v=638706011474870000
Kit Recien Nacido Winny,54479,115900,52,MUNDO BEBE,bebes,https://www.exito.com/kit-recien-nacido-winny-101870829-mp/p,https://exitocol.vtexassets.com/arquivos/ids/10543932-300-auto/kit-recien-nacido-winny.jpg?v=637702801383130000
Coche Bastón Stark Eb2015 Negro,152800,305900,50,EBABY,bebes,https://www.exito.com/coche-baston-stark-eb2015-negro-104545610-mp/p,https://exitocol.vtexassets.com/arquivos/ids/28950741-300-auto/coche-baston-stark-eb2015-negro.jpg?v=638863755910970000
Coche Cuna Moisés Confort Función Maleta Eb R147 1 Negro,574499,655900,12,EBABY,bebes,https://www.exito.com/coche-cuna-moises-confort-funcion-maleta-eb-r147-1-negro-104880726-mp/p,https://exitocol.vtexassets.com/arquivos/ids/32352550-300-auto/coche-cuna-moises-confort-funcion-maleta-eb-r147-1-negro.jpg?v=639052399077000000
Silla De Auto Bancy Eb560 1 Rosa,290500,405800,28,EBABY,bebes,https://www.exito.com/silla-de-auto-bancy-5601rosado-100123326-mp/p,https://exitocol.vtexassets.com/arquivos/ids/29368891-300-auto/silla-de-auto-bancy-eb560-1-rosa.jpg?v=638890889509870000
Extractor De Leche Electrico Recargable Manos Libres Portatil,89295,160000,44,GENERICO,bebes,https://www.exito.com/extractor-de-leche-electrico-recargable-manos-libres-portatil-104829319-mp/p,https://exitocol.vtexassets.com/arquivos/ids/31819152-300-auto/extractor-de-leche-electrico-recargable-manos-libres-portatil.jpg?v=638990830022400000
de carro  PRIORI First,719940,1199900,40,PRIORI,bebes,https://www.exito.com/de-carro-priori-first-3111757/p?color=GRIS%2FNEGR,https://d3ez54m90carx6.cloudfront.net/ENVIO-GRATIS-42lu9gmf5quyrt.jpg
de carro  PRIORI First,719940,1199900,40,PRIORI,bebes,https://www.exito.com/de-carro-priori-first-3111757/p?color=GRISROSAD,https://d3ez54m90carx6.cloudfront.net/ENVIO-GRATIS-42lu9gmf5quyrt.jpg
Desodorante REXONA V8 aerosol hombre (178  gr),,,,"(Gr a $ 123,03)",cuidado-personal,https://www.exito.com/of-desodorante-aerosol-v8-771034/p,https://d3ez54m90carx6.cloudfront.net/IMPRECIONANTES-3lfiilomf2p54b7.png
Tratamiento capilar DOVE intense repair (250  gr),,,,"(Gr a $ 178,60)",cuidado-personal,https://www.exito.com/tratamiento-capilar-dove-masc-intense-repair-250-gr-3189203/p,https://d3ez54m90carx6.cloudfront.net/SELLOS-TEMÁTICOS-15cgy2hml59z3mb.png
Crema corporal LUBRIDERM reparación intensiva (946  gr),,,,"(Gr a $ 71,67)",cuidado-personal,https://www.exito.com/cr-corporal-reparacion-intensi-869499/p,https://d3ez54m90carx6.cloudfront.net/SELLOS-TEMÁTICOS-15cgy2hml59z3mb.png
Minoxidil Kirkland 5% 1 Botella + Dermaroller,39893,55900,28,,cuidado-personal,https://www.exito.com/minoxidil-kirkland-5-1-botella-dermaroller-104789478-mp/p,https://exitocol.vtexassets.com/arquivos/ids/31423287-300-auto/minoxidil-kirkland-5-1-botella-dermaroller.jpg?v=638966560551000000
Acondicionador SAVITAL con elixir de romero (490  ml),,,,"(Ml a $ 29,71)",cuidado-personal,https://www.exito.com/acondicionador-savital-elixir-de-romero-490-ml-3218973/p,https://d3ez54m90carx6.cloudfront.net/CUCARDA-INSUPERABLE-2rz15omd91zwoz.png
Shampoo SAVITAL elixir de romero biotina y sábila (510  ml),,,,"(Ml a $ 28,63)",cuidado-personal,https://www.exito.com/shampoo-savital-elixir-de-romero-510-ml-3218972/p,https://d3ez54m90carx6.cloudfront.net/CUCARDA-INSUPERABLE-2rz15omd91zwoz.png
Tensiometro Digital Para Brazo Monitor De Presion,24922,99999,75,,cuidado-personal,https://www.exito.com/tensiometro-digital-omron-serie-5-para-el-brazo-100110537-mp/p,https://exitocol.vtexassets.com/arquivos/ids/29652701-300-auto/tensiometro-digital-para-brazo-monitor-de-presion.jpg?v=638907858889270000
Jabón de baño PROTEX avena (330  gr),,,,"(Gr a $ 35,76)",cuidado-personal,https://www.exito.com/jabon-avena-barra-x3-unds-protex-330-gr-3040864/p,https://d3ez54m90carx6.cloudfront.net/SELLOS-TEMÁTICOS-15cgy2hml59z3mb.png
Crema dental ORALB 3D white brilliant fresh (134  ml),,,,"(Ml a $ 180,60)",cuidado-personal,https://www.exito.com/crema-dental-3d-na-oral-b-134-ml-3043890/p,https://d3ez54m90carx6.cloudfront.net/SELLOS-TEMÁTICOS-15cgy2hml59z3mb.png
Tensiometro Original De Brazo Automático Alta Precisión Digital Con Voz Español Envio Gratis,24183,,,,cuidado-personal,https://www.exito.com/tensiometro-original-de-brazo-automatico-alta-precision-digital-con-voz-espanol-envio-gratis-104054044-mp/p,https://exitocol.vtexassets.com/arquivos/ids/28956546-300-auto/tensiometro-original-de-brazo-automatico-alta-precision-digital-con-voz-espanol-envio-gratis.jpg?v=638864030234400000
Minoxidil Kirkland 5% Importado 3Unidades,79756,120000,33,,cuidado-personal,https://www.exito.com/minoxidil-kirkland-5-importado-3unidades-104820740-mp/p,https://exitocol.vtexassets.com/arquivos/ids/31751546-300-auto/minoxidil-kirkland-5-importado-3unidades.jpg?v=638985800022030000
Secador De Cabello 5 En 1 Multifuncional,36354,,,,cuidado-personal,https://www.exito.com/secador-de-cabello-5-en-1-multifuncional-104169526-mp/p,https://exitocol.vtexassets.com/arquivos/ids/26849408-300-auto/secador-de-cabello-5-en-1-multifuncional.jpg?v=638755248084500000
Pañales WINNY sensitive 1P (50  und),1042,,,"(Und a $ 1.042,00)",cuidado-personal,https://www.exito.com/panales-sensgold-etapa-1-winny-50-unidad-3003709/p,https://d3ez54m90carx6.cloudfront.net/SELLOS-TEMÁTICOS-15cgy2hml59z3mb.png
Crema dental COLGATE total whitening prevención activa (225  ml),,,,"(Ml a $ 168,22)",cuidado-personal,https://www.exito.com/crema-colgate-dental-225-ml-3233595/p,https://d3ez54m90carx6.cloudfront.net/cucarda-Nuevo_exito-dowpolj7nna7n.png
Nebulizador Portatil Para Niños Y Adultos,25889,45000,42,,cuidado-personal,https://www.exito.com/nebulizador-portatil-para-ninos-y-adultos-101329681-mp/p,https://exitocol.vtexassets.com/arquivos/ids/10772856-300-auto/nebulizador-portatil-para-ninos-y-adultos.jpg?v=637716672598070000
The Ordinary Niacinamida 10% Antiacne Suero Antigrasa 30Ml,59959,96000,37,,cuidado-personal,https://www.exito.com/the-ordinary-niacinamida-10-antiacne-suero-antigrasa-30ml-101305838-mp/p,https://exitocol.vtexassets.com/arquivos/ids/20809976-300-auto/the-ordinary-niacinamida-10-antiacne-suero-antigrasa-30ml.jpg?v=638398393251900000
Toallitas húmedas PERSONAL CHOICE MARCA EXCLUSIV aloe vera (72  und),,,,"(Und a $ 53,33)",cuidado-personal,https://www.exito.com/toallitas-humedas-con-aloe-vera-para-bebe-x-72-unds-cu-694797/p,https://d3ez54m90carx6.cloudfront.net/CUCARDA-INSUPERABLE-2rz15omd91zwoz.png
Crema Corporal Lactovit Y Gel Baño Kit,99999,120000,16,,cuidado-personal,https://www.exito.com/crema-corporal-lactovit-y-gel-bano-kit-104774917-mp/p,https://exitocol.vtexassets.com/arquivos/ids/31237340-300-auto/crema-corporal-lactovit-y-gel-bano-kit.jpg?v=638957525822130000
Crema dental COLGATE triple acción (375  ml),,,,"(Ml a $ 71,60)",cuidado-personal,https://www.exito.com/crema-triple-accion-x3und-981291/p,https://d3ez54m90carx6.cloudfront.net/SELLOS-TEMÁTICOS-15cgy2hml59z3mb.png
Jabón de baño JOHNSON S original (330  gr),,,,"(Gr a $ 37,88)",cuidado-personal,https://www.exito.com/jabon-barra-original-165340/p,https://d3ez54m90carx6.cloudfront.net/SELLOS-TEMÁTICOS-15cgy2hml59z3mb.png
Agua micelar NIVEA reparadora (400  ml),,,,"(Ml a $ 85,75)",belleza,https://www.exito.com/agua-nivea-micelar-cara-ojos-labios-400-ml-3178948/p,https://d3ez54m90carx6.cloudfront.net/SELLOS-TEMÁTICOS-15cgy2hml59z3mb.png
Protector Solar Facial Eucerin Tono Claro Spf50 Pigment Caj 1 Fra 50 Ml,110460,157800,30,,belleza,https://www.exito.com/protector-solar-facial-anti-manchas-tono-claro---eucerin-123772225/p,https://d3ez54m90carx6.cloudfront.net/CUCARDA-1 E GRATIS ÉXITO-jj5agmo3e0dl3.png
Perfume Moschino Toy Boy Hombre 100 Ml Edp,142030,399900,64,,belleza,https://www.exito.com/perfume-moschino-toy-boy-hombre-100-ml-edp-102654797-mp/p,https://exitocol.vtexassets.com/arquivos/ids/30932866-300-auto/perfume-moschino-toy-boy-hombre-100-ml-edp.jpg?v=638938858022770000
